,Nome,Empreendedor,CPF_CNPJ,UF,Município,Latitude,Longitude,Posicionamento,Categoria de Risco - CRI,Dano Potencial Associado - DPA,Necessita de PAEBM,Inserido na PNSB,Nível de Emergência,Status da DCE Atual,Status da DCO Atual,Tipo de Barragem de Mineração,A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório,Quantidade Diques Internos,Quantidade Diques Selantes,Cluster,Altura Máxima do projeto da Back Up Dam (m),Vida útil prevista da Back Up Dam (Anos),Situação operacional da Back Up Dam,Teor (%) do minério principal inserido no rejeito
203,Medrado 3,CIA DE FERRO LIGAS DA BAHIA FERBASA,15141799000103,BA,ANDORINHA,-10.315555555555557,-39.76583333333333,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,6.5
204,BARRAGEM USINA/CIP - LAGO 1 E 2,FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA,22104045000149,BA,BARROCAS,-11.449666666666667,-39.089666666666666,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,12.0
205,BARRAGEM USINA/CIP - LAGO 3,FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA,22104045000149,BA,BARROCAS,-11.447133888888889,-39.071195833333334,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
206,BARRAGEM USINA/CIP - LAGO 4,FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA,22104045000149,BA,BARROCAS,-11.448055555555555,-39.09805555555556,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
207,BACIA DE SEDIMENTO DA USINA DE TRATAMENTO,MAGNESITA MINERACAO S.A.,00592603000120,BA,BRUMADO,-14.233777777777776,-41.71969444444445,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,5.0
208,BARRAGEM DE DEPOSIÇÃO DE LAMA,XILOLITE S/A,62477088000194,BA,BRUMADO,-14.097930555555557,-41.68920555555555,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,60.0
209,TQ 6301 A - POND 1 A,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,00322818003570,BA,CAETITÉ,-13.835227777777778,-42.281702777777774,Sul do Equador,Média,Média,Sim,Sim,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
210,TQ 6301 B - POND 1 B,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,00322818003570,BA,CAETITÉ,-13.834747222222223,-42.281169444444444,Sul do Equador,Média,Média,Sim,Sim,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
211,TQ 6302 - POND 2,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,00322818003570,BA,CAETITÉ,-13.835941666666667,-42.28261944444444,Sul do Equador,Média,Média,Sim,Sim,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
212,TQ 6303 - POND 3,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,00322818003570,BA,CAETITÉ,-13.836108333333334,-42.284283333333335,Sul do Equador,Média,Média,Sim,Sim,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
213,TQ 63202 - Bacia de Finos Cachoeira,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,00322818003570,BA,CAETITÉ,-13.828388888888888,-42.287791666666664,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
214,TQ 63201 - Pré Bacia Cachoeira,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,00322818003570,BA,CAETITÉ,-13.829672222222221,-42.287369444444444,Sul do Equador,Alta,Baixa,Não,Sim,Emergência Nivel 1,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
215,Cava Camarinha,CIA DE FERRO LIGAS DA BAHIA FERBASA,15141799000103,BA,CAMPO FORMOSO,-10.54561111111111,-40.42519444444444,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1,0.0,0.0,0,6.0
216,Cava Pedrinhas,CIA DE FERRO LIGAS DA BAHIA FERBASA,15141799000103,BA,CAMPO FORMOSO,-10.545,-40.41455555555555,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,-,-,Cava com Barramento Construído,Sim,1.0,0.0,1,0.0,0.0,0,6.0
217,Barragem de Rejeitos de Irecê,COMPANHIA BAIANA DE PESQUISA MINERAL CBPM,13554910000168,BA,IRECÊ,-11.311944444444444,-41.839444444444446,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
218,Dique Santa Rita,ATLANTIC NICKEL MINERACAO LTDA,74127010000129,BA,ITAGIBÁ,-14.196540833333334,-39.691649722222216,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.22
219,Barragem Santa Rita,ATLANTIC NICKEL MINERACAO LTDA,74127010000129,BA,ITAGIBÁ,-14.189108888888889,-39.69714083333333,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
220,Barragem 01,JACOBINA MINERACAO E COMERCIO LTDA,42463174000130,BA,JACOBINA,-11.243638888888889,-40.52575,Sul do Equador,Média,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,0.0,2.0,0,0.0,0.0,0,0.01
221,BARRAGEM 02,JACOBINA MINERACAO E COMERCIO LTDA,42463174000130,BA,JACOBINA,-11.23511111111111,-40.52908333333333,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
222,Dique 3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.831472222222223,-39.82491666666667,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.15
223,R22,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.861611111111111,-39.873083333333334,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
224,R75,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.85286111111111,-39.868138888888886,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
225,Pilha 01 - P1C1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.852825,-39.862296666666666,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
226,Pilha 01 P1C2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.855442499999999,-39.86398722222222,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
227,Pilha 01 - P1C3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.854245833333334,-39.86653583333334,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
228,PILHA11 - P11C4,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.861199722222223,-39.879016944444444,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
229,Barragem MCSA,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.851138888888888,-39.82658333333334,Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Sim,0.0,2.0,0,0.0,0.0,0,0.15
230,PILHA 01 - PIC17,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.851531944444444,-39.863911944444446,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
231,PILHA 06 - P6C5,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.880839722222223,-39.87318277777778,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
232,Pilha 07 - P7C2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.875618888888889,-39.87270083333333,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
233,PILHA 11 - P11C1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.86087888888889,-39.880362777777776,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
234,PILHA 11 - P11C2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.862105,-39.88049777777778,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
235,PILHA11 - P11C3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.863473888888889,-39.87994888888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
236,PILHA 05 - P5C09,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.879863333333335,-39.8662025,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
237,PILHA 01 - PIC1A,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.85333,-39.86157888888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
238,PILHASUL - PCS1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.873844722222223,-39.87090194444445,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
239,PILHASUL - PCS2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.872836944444446,-39.871659722222226,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.15
240,PILHASUL - PCS3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.87293888888889,-39.871030833333336,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.15
241,PILHA 01 - PIC16,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.851265,-39.86499777777778,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.12
242,PILHA07-C1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.875987777777778,-39.87161861111111,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
243,PILHA05-XC03,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.874896944444444,-39.864965833333336,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
244,PILHA 06 - P6C3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.878252777777778,-39.87231083333334,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
245,PILHA 01 - P1C14,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.85697,-39.86570777777778,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
246,PILHA 05 - P5C07,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.88128888888889,-39.86716972222222,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
247,PILHA 05 - P5C08,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.877543888888889,-39.867874444444446,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.16
248,P6C02,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.879062777777778,-39.871405833333334,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
249,PILHA01-C10,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.852604722222221,-39.86609694444444,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
250,PILHA01-C11,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.853491944444444,-39.86364277777778,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
251,PILHA01-C12,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.853759166666666,-39.861645,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
252,PILHA01-C13,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.85637111111111,-39.864937222222224,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
253,PILHA05-C06,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.878395000000001,-39.86323194444444,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
254,Pilha 05 - P5XC2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.875650277777778,-39.86521861111111,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
255,BARAÚNA - PBC1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.875388888888889,-39.86942694444444,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
256,BARAÚNA - PBC2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.87485888888889,-39.87146194444445,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
257,BARAÚNA - PBC3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.87446388888889,-39.87223888888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
258,P6C4,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.876943888888889,-39.870152777777776,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.15
259,P6C01,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.878210000000001,-39.870066944444446,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.0
260,Pilha 05 - P5C1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.879488333333335,-39.86517,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
261,Pilha 05 - P5C2,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.876857777777778,-39.86816888888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
262,Pilha 05 - P5C3,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.880159166666667,-39.864240555555554,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
263,Pilha 05 - P5C4,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.875204722222223,-39.86891694444444,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
264,Pilha 05 - P5C5,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.87887388888889,-39.86882,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
265,Pilha 05 - XC1,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.877211666666668,-39.86453888888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
266,Pilha 01 - P1C4,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.855460833333334,-39.86725583333333,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
267,Pilha 01 - P1C5,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.852129999999999,-39.86334388888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.16
268,Pilha 01 - P1C6,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.853056944444445,-39.86494416666667,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
269,Pilha 01 - P1C7,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.855352777777778,-39.86511083333333,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
270,Pilha 01 - P1C8,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.857335555555554,-39.86335972222222,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.15
271,Pilha 01 - P1C9,MINERACAO CARAIBA S/A,42509257000113,BA,JAGUARARI,-9.855806944444444,-39.862769722222225,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Não,0.0,0.0,4,0.0,0.0,0,0.16
272,BARRAGEM 03,SAMACA FERROS LTDA,16682218000103,BA,MAIQUINIQUE,-15.788333333333334,-40.323055555555555,Sul do Equador,Não se aplica,Não se aplica,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Sim,2.0,0.0,3,0.0,0.0,0,3.08
273,Barragem 01,SAMACA FERROS LTDA,16682218000103,BA,MAIQUINIQUE,-15.777333333333335,-40.32233333333334,Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,3.05
274,Barragem 02,SAMACA FERROS LTDA,16682218000103,BA,MAIQUINIQUE,-15.778333333333334,-40.31783333333334,Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
275,DIQUE 2,SAMACA FERROS LTDA,16682218000103,BA,MAIQUINIQUE,-15.780347222222224,-40.31443055555555,Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,3.08
276,Bacia de Rejeito Não Magnético 06,LARGO VANADIO DE MARACAS S.A,15191786000149,BA,MARACÁS,-14.161150555555556,-41.159390555555554,Sul do Equador,Não se aplica,Não se aplica,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.3
277,Barragem de rejeito não magnético 02,LARGO VANADIO DE MARACAS S.A,15191786000149,BA,MARACÁS,-13.686736388888889,-40.69166166666666,Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.3
278,Barragem de rejeito não magnético 03,LARGO VANADIO DE MARACAS S.A,15191786000149,BA,MARACÁS,-13.68725,-40.689138888888884,Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
279,Barragem de Rejeito Não Magnético 04,LARGO VANADIO DE MARACAS S.A,15191786000149,BA,MARACÁS,-13.68993611111111,-40.69147222222222,Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.3
280,BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII,MAGNESITA MINERACAO S.A.,00592603000120,BA,SANTALUZ,-11.260280555555555,-39.35756111111111,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,11.0
281,BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII ,MAGNESITA MINERACAO S.A.,00592603000120,BA,SANTALUZ,-11.260519444444444,-39.35755555555556,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,11.0
282,BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI,MAGNESITA MINERACAO S.A.,00592603000120,BA,SANTALUZ,-11.26008888888889,-39.35758333333334,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,6.37
283,BARRAGEM DE FLOTAÇÃO,SANTA LUZ DESENVOLVIMENTO MINERAL LTDA,22103965000142,BA,SANTALUZ,-11.003444444444444,-39.28702777777777,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.52
284,BARRAGEM DE LIXIVIAÇÃO,SANTA LUZ DESENVOLVIMENTO MINERAL LTDA,22103965000142,BA,SANTALUZ,-11.003638888888888,-39.30083333333333,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,0.0,1.0,0,0.0,0.0,0,11.0
285,TANQUE DE DECANTAÇÃO,PEDREIRAS BAHIA LTDA,34089417000194,BA,SIMÕES FILHO,-12.856777777777777,-38.40441666666666,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
286,Barragem Santa Helena,COMPANHIA BRASILEIRA DE BENTONITA LTDA,04885978000139,BA,VITÓRIA DA CONQUISTA,-14.811214722222223,-41.004976944444444,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
287,SANTO ANTÔNIO,"NIKI MINERACAO, COMERCIO E EXPORTACAO LTDA.",08667139000103,MG,ANTÔNIO DIAS,-19.545458333333336,-43.03093611111111,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
288,Barragem B1,MINERACAO POSITIVA LTDA EM,16800211000149,MG,ANTÔNIO DIAS,-19.549972222222223,-43.02225,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
289,Barragem B3,MINERACAO POSITIVA LTDA EM,16800211000149,MG,ANTÔNIO DIAS,-19.547583333333336,-43.02152777777778,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
